2018-05-04 12:10:44 [DEBUG] [apache.ibatis.logging.jdbc.BaseJdbcLogger:159] ==>  Preparing: INSERT INTO board ( bno , title , content , writer ) VALUES ( board_bno_seq.nextval , ? , ? , ? )  
2018-05-04 12:10:44 [DEBUG] [apache.ibatis.logging.jdbc.BaseJdbcLogger:159] ==> Parameters: 하이(String), 하이루(String), 사종찬(String) 
2018-05-04 12:10:44 [DEBUG] [apache.ibatis.logging.jdbc.BaseJdbcLogger:159] <==    Updates: 1 
2018-05-04 12:10:44 [INFO ] [or.kosta.springmvc.board.BoardTest:29] 하이루 
2018-05-04 12:37:21 [DEBUG] [apache.ibatis.logging.jdbc.BaseJdbcLogger:159] ==>  Preparing: SELECT rn , bno , title , content , writer , regdate , viewcnt FROM (SELECT CEIL(rn / 10) as page , rn , bno , title , content , writer , regdate , viewcnt FROM (SELECT rownum as rn , bno , title , content , writer , regdate , viewcnt FROM board ORDER BY bno desc )) WHERE page = ?  
2018-05-04 12:37:21 [DEBUG] [apache.ibatis.logging.jdbc.BaseJdbcLogger:159] ==> Parameters: 3(Integer) 
2018-05-04 12:37:21 [DEBUG] [apache.ibatis.logging.jdbc.BaseJdbcLogger:159] <==      Total: 0 
2018-05-04 12:37:56 [DEBUG] [apache.ibatis.logging.jdbc.BaseJdbcLogger:159] ==>  Preparing: SELECT rn , bno , title , content , writer , regdate , viewcnt FROM (SELECT CEIL(rn / 10) as page , rn , bno , title , content , writer , regdate , viewcnt FROM (SELECT rownum as rn , bno , title , content , writer , regdate , viewcnt FROM board ORDER BY bno desc )) WHERE page = ?  
2018-05-04 12:37:56 [DEBUG] [apache.ibatis.logging.jdbc.BaseJdbcLogger:159] ==> Parameters: 3(Integer) 
2018-05-04 12:37:56 [DEBUG] [apache.ibatis.logging.jdbc.BaseJdbcLogger:159] <==      Total: 10 
2018-05-04 12:37:56 [INFO ] [or.kosta.springmvc.board.BoardTest:65] Board [bno=529, title=되따, content=그래따, writer=나다, regdate=2018-05-04 12:12:39, viewcnt=0] 
2018-05-04 12:37:56 [INFO ] [or.kosta.springmvc.board.BoardTest:65] Board [bno=528, title=쥐료똬, content=좌료똬, writer=423, regdate=2018-05-04 12:12:39, viewcnt=0] 
2018-05-04 12:37:56 [INFO ] [or.kosta.springmvc.board.BoardTest:65] Board [bno=527, title=123, content=432, writer=423, regdate=2018-05-04 12:12:39, viewcnt=0] 
2018-05-04 12:37:56 [INFO ] [or.kosta.springmvc.board.BoardTest:65] Board [bno=526, title=하이, content=하이루, writer=사종찬, regdate=2018-05-04 12:12:39, viewcnt=0] 
2018-05-04 12:37:56 [INFO ] [or.kosta.springmvc.board.BoardTest:65] Board [bno=525, title=이대용은 짜이요, content=짜이요, writer=423, regdate=2018-05-04 12:12:39, viewcnt=0] 
2018-05-04 12:37:56 [INFO ] [or.kosta.springmvc.board.BoardTest:65] Board [bno=524, title=되따, content=그래따, writer=나다, regdate=2018-05-04 12:12:39, viewcnt=0] 
2018-05-04 12:37:56 [INFO ] [or.kosta.springmvc.board.BoardTest:65] Board [bno=523, title=쥐료똬, content=좌료똬, writer=423, regdate=2018-05-04 12:12:39, viewcnt=0] 
2018-05-04 12:37:56 [INFO ] [or.kosta.springmvc.board.BoardTest:65] Board [bno=522, title=123, content=432, writer=423, regdate=2018-05-04 12:12:39, viewcnt=0] 
2018-05-04 12:37:56 [INFO ] [or.kosta.springmvc.board.BoardTest:65] Board [bno=521, title=하이, content=하이루, writer=사종찬, regdate=2018-05-04 12:12:39, viewcnt=0] 
2018-05-04 12:37:56 [INFO ] [or.kosta.springmvc.board.BoardTest:65] Board [bno=520, title=이대용은 짜이요, content=짜이요, writer=423, regdate=2018-05-04 12:12:39, viewcnt=0] 
2018-05-04 12:38:11 [DEBUG] [apache.ibatis.logging.jdbc.BaseJdbcLogger:159] ==>  Preparing: SELECT rn , bno , title , content , writer , regdate , viewcnt FROM (SELECT CEIL(rn / 10) as page , rn , bno , title , content , writer , regdate , viewcnt FROM (SELECT rownum as rn , bno , title , content , writer , regdate , viewcnt FROM board ORDER BY bno desc )) WHERE page = ?  
2018-05-04 12:38:11 [DEBUG] [apache.ibatis.logging.jdbc.BaseJdbcLogger:159] ==> Parameters: 4(Integer) 
2018-05-04 12:38:11 [DEBUG] [apache.ibatis.logging.jdbc.BaseJdbcLogger:159] <==      Total: 10 
2018-05-04 12:38:11 [INFO ] [or.kosta.springmvc.board.BoardTest:65] Board [bno=539, title=되따, content=그래따, writer=나다, regdate=2018-05-04 12:12:39, viewcnt=0] 
2018-05-04 12:38:11 [INFO ] [or.kosta.springmvc.board.BoardTest:65] Board [bno=538, title=쥐료똬, content=좌료똬, writer=423, regdate=2018-05-04 12:12:39, viewcnt=0] 
2018-05-04 12:38:11 [INFO ] [or.kosta.springmvc.board.BoardTest:65] Board [bno=537, title=123, content=432, writer=423, regdate=2018-05-04 12:12:39, viewcnt=0] 
2018-05-04 12:38:11 [INFO ] [or.kosta.springmvc.board.BoardTest:65] Board [bno=536, title=하이, content=하이루, writer=사종찬, regdate=2018-05-04 12:12:39, viewcnt=0] 
2018-05-04 12:38:11 [INFO ] [or.kosta.springmvc.board.BoardTest:65] Board [bno=535, title=이대용은 짜이요, content=짜이요, writer=423, regdate=2018-05-04 12:12:39, viewcnt=0] 
2018-05-04 12:38:11 [INFO ] [or.kosta.springmvc.board.BoardTest:65] Board [bno=534, title=되따, content=그래따, writer=나다, regdate=2018-05-04 12:12:39, viewcnt=0] 
2018-05-04 12:38:11 [INFO ] [or.kosta.springmvc.board.BoardTest:65] Board [bno=533, title=쥐료똬, content=좌료똬, writer=423, regdate=2018-05-04 12:12:39, viewcnt=0] 
2018-05-04 12:38:11 [INFO ] [or.kosta.springmvc.board.BoardTest:65] Board [bno=532, title=123, content=432, writer=423, regdate=2018-05-04 12:12:39, viewcnt=0] 
2018-05-04 12:38:11 [INFO ] [or.kosta.springmvc.board.BoardTest:65] Board [bno=531, title=하이, content=하이루, writer=사종찬, regdate=2018-05-04 12:12:39, viewcnt=0] 
2018-05-04 12:38:11 [INFO ] [or.kosta.springmvc.board.BoardTest:65] Board [bno=530, title=이대용은 짜이요, content=짜이요, writer=423, regdate=2018-05-04 12:12:39, viewcnt=0] 
2018-05-04 12:38:17 [DEBUG] [apache.ibatis.logging.jdbc.BaseJdbcLogger:159] ==>  Preparing: SELECT rn , bno , title , content , writer , regdate , viewcnt FROM (SELECT CEIL(rn / 10) as page , rn , bno , title , content , writer , regdate , viewcnt FROM (SELECT rownum as rn , bno , title , content , writer , regdate , viewcnt FROM board ORDER BY bno desc )) WHERE page = ?  
